Posted On,BHK,Rent_Floor,Total_Floors,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
2022-05-18,2,0,2,1100,Super Area,Bandel,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,10000
2022-05-13,2,1,3,800,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,20000
2022-05-16,2,1,3,1000,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,17000
2022-07-04,2,1,2,800,Super Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10000
2022-05-09,2,1,2,850,Carpet Area,South Dum Dum,Kolkata,Unfurnished,Bachelors,1,Contact Owner,7500
2022-04-29,2,0,1,600,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,7000
2022-06-21,2,0,4,700,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,2,Contact Agent,10000
2022-06-21,1,1,2,250,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,1,Contact Agent,5000
2022-06-07,2,1,2,800,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,2,Contact Agent,26000
2022-06-20,2,1,3,1000,Carpet Area,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,10000
2022-05-23,3,1,4,1200,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,25000
2022-06-07,1,1,1,400,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,5000
2022-05-14,1,1,4,250,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,1,Contact Owner,6500
2022-05-09,1,1,2,375,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,5500
2022-05-05,3,0,2,900,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2,Contact Owner,8500
2022-06-01,3,1,1,1286,Carpet Area,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,40000
2022-05-17,2,1,2,600,Super Area,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,6000
2022-06-20,2,0,2,800,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10000
2022-06-09,2,0,3,2000,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,11000
2022-06-09,2,1,2,660,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-07-02,2,1,2,650,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,1,Contact Owner,7900
2022-06-14,2,2,3,400,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2,Contact Owner,9000
2022-06-15,1,0,4,300,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,4000
2022-06-15,3,0,2,1600,Super Area,Joka,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6500
2022-05-28,1,1,2,400,Super Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,8000
2022-05-22,2,1,1,1000,Super Area,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7000
2022-06-18,1,1,1,355,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,5300
2022-06-25,2,0,3,1000,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,6000
2022-06-22,2,4,5,800,Super Area,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8500
2022-06-25,2,0,2,850,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,12500
2022-05-21,1,0,2,350,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7500
2022-06-26,2,0,2,900,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,15000
2022-06-16,2,1,1,550,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,6000
2022-06-29,2,0,2,500,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,5000
2022-05-10,3,2,3,1100,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,22000
2022-05-12,2,1,2,850,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,15000
2022-06-03,2,2,2,800,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1,Contact Agent,12500
2022-05-31,2,0,3,630,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,7000
2022-06-10,2,1,2,900,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,21000
